DATE,TOTBKCR
1988-07-06,2312.4714
1988-07-13,2311.7862
1988-07-20,2314.9545
1988-07-27,2316.8016
1988-08-03,2318.5375
1988-08-10,2322.8755
1988-08-17,2322.3469
1988-08-24,2324.7142
1988-08-31,2326.7779
1988-09-07,2323.5645
1988-09-14,2325.2972
1988-09-21,2331.8548
1988-09-28,2333.9421
1988-10-05,2337.8966
1988-10-12,2342.9078
1988-10-19,2340.535
1988-10-26,2342.4948
1988-11-02,2345.8025
1988-11-09,2348.2595
1988-11-16,2356.1026
1988-11-23,2361.2374
1988-11-30,2363.6299
1988-12-07,2367.4458
1988-12-14,2365.9451
1988-12-21,2371.0085
1988-12-28,2368.3943
1989-01-04,2363.2818
1989-01-11,2371.7661
1989-01-18,2377.7282
1989-01-25,2379.6984
1989-02-01,2378.4426
1989-02-08,2392.3142
1989-02-15,2397.8193
1989-02-22,2394.5367
1989-03-01,2397.2021
1989-03-08,2394.7237
1989-03-15,2402.2181
1989-03-22,2401.6097
1989-03-29,2412.6396
1989-04-05,2416.6402
1989-04-12,2415.6481
1989-04-19,2422.749
1989-04-26,2426.1406
1989-05-03,2428.9719
1989-05-10,2431.8347
1989-05-17,2436.2439
1989-05-24,2444.5364
1989-05-31,2446.4307
1989-06-07,2444.9782
1989-06-14,2445.381
1989-06-21,2452.3728
1989-06-28,2456.0404
1989-07-05,2462.9664
1989-07-12,2464.3309
1989-07-19,2468.9517
1989-07-26,2482.9324
1989-08-02,2478.2702
1989-08-09,2483.0747
1989-08-16,2486.5132
1989-08-23,2491.3086
1989-08-30,2490.2702
1989-09-06,2496.0251
1989-09-13,2496.185
1989-09-20,2500.8496
1989-09-27,2500.5283
1989-10-04,2502.7097
1989-10-11,2512.6387
1989-10-18,2516.0022
1989-10-25,2524.5691
1989-11-01,2532.4633
1989-11-08,2525.268
1989-11-15,2530.4613
1989-11-22,2532.9536
1989-11-29,2530.0733
1989-12-06,2536.6653
1989-12-13,2542.7466
1989-12-20,2540.4732
1989-12-27,2535.3262
1990-01-03,2535.4436
1990-01-10,2548.0341
1990-01-17,2550.6001
1990-01-24,2558.4645
1990-01-31,2562.9616
1990-02-07,2565.315
1990-02-14,2568.0186
1990-02-21,2576.2755
1990-02-28,2577.0001
1990-03-07,2578.4974
1990-03-14,2578.6965
1990-03-21,2585.6994
1990-03-28,2583.8327
1990-04-04,2585.1039
1990-04-11,2591.058
1990-04-18,2597.1286
1990-04-25,2599.3376
1990-05-02,2601.1922
1990-05-09,2603.7359
1990-05-16,2605.3585
1990-05-23,2611.1553
1990-05-30,2608.6093
1990-06-06,2617.3882
1990-06-13,2621.8818
1990-06-20,2627.1245
1990-06-27,2628.5826
1990-07-04,2620.4935
1990-07-11,2627.0733
1990-07-18,2633.3766
1990-07-25,2633.7938
1990-08-01,2635.1509
1990-08-08,2634.7192
1990-08-15,2643.2377
1990-08-22,2644.737
1990-08-29,2642.3793
1990-09-05,2646.4967
1990-09-12,2645.0672
1990-09-19,2649.3677
1990-09-26,2645.7118
1990-10-03,2648.5793
1990-10-10,2652.5023
1990-10-17,2654.0073
